entity_head	relation	entity_tail
1479	10	8236
494	10	12096
1727	10	5870
2751	3	12376
34	10	13385
2542	10	4177
301	10	7775
268	3	4409
391	10	6814
1605	10	3196
497	10	6114
1992	10	12786
2226	3	11407
803	10	10473
1660	10	8803
2676	10	8414
2902	10	4705
209	1	9901
171	4	12801
250	1	6633
1864	10	8076
2386	10	4993
2143	10	11206
547	3	7250
1194	10	9527
329	3	3912
2133	10	11493
361	3	6573
2714	10	6995
1545	3	6573
68	3	4949
2087	10	5570
543	10	12382
2300	10	7912
1653	10	13702
1235	10	6749
1460	3	8405
1312	3	12376
1753	3	9292
1571	10	7967
2639	10	12871
1020	10	7354
864	10	10864
264	10	5980
2127	10	13331
1502	10	7505
115	10	7195
175	10	3973
1749	10	5480
948	10	10347
1023	10	12915
2829	10	13156
173	7	4092
1329	10	7553
878	10	9047
191	10	12458
2135	10	9757
82	10	8916
1027	10	6788
1028	10	5480
1560	10	10247
2347	10	9426
875	6	8679
2181	10	7136
90	3	4409
1932	10	11672
377	10	10940
205	10	6686
2460	10	5496
289	10	4072
1089	10	8859
1424	10	12346
2607	10	6998
1147	10	11470
1206	10	4984
1794	10	11878
1890	10	10933
1248	10	5370
656	7	5774
2291	10	5496
2608	4	10662
1775	10	9090
1408	10	11486
833	10	9438
1498	10	8033
169	3	9767
2875	10	3175
722	10	4719
2607	10	3675
2143	10	9651
2342	10	8321
1834	3	12376
1435	3	4740
1600	10	5918
1670	10	13028
2008	3	9870
862	3	5126
456	10	11867
1697	10	4604
2474	7	11482
1113	10	9507
2307	10	11650
1639	10	12850
2740	10	4059
1674	10	6875
2546	10	9716
2122	10	4051
2131	10	12826
2625	3	12376
925	10	10419
2802	10	9426
2960	10	11253
2811	1	5334
451	10	10528
2069	10	4344
267	3	9767
2529	10	12856
233	10	12286
1486	10	5201
2240	10	12169
806	3	8331
97	3	3627
2356	10	9235
2569	3	11660
2406	0	3769
1194	10	8321
179	3	4532
2326	3	9494
62	3	11290
2151	10	13508
2473	10	7382
2563	10	12515
1274	10	8782
869	3	4300
259	3	11610
2794	10	13257
591	10	12657
900	4	13089
2140	4	9422
1307	3	8331
1304	10	8788
2215	1	4309
2321	3	12135
1891	10	4585
971	10	5485
2336	10	4043
2434	10	4195
1837	10	13230
143	4	8612
747	10	6403
2891	10	4180
832	10	8478
1070	3	3066
1423	10	7783
891	3	12135
586	3	13718
1760	10	7254
522	10	5628
758	10	10599
1090	4	6086
538	10	11851
1798	1	11931
532	1	13801
326	3	5171
1899	3	12135
1468	10	7645
1257	10	6745
1808	10	5710
691	3	9778
2959	10	9793
2422	10	3079
2550	10	11911
1363	10	5102
1333	10	3077
2627	10	7513
1685	10	8516
1930	10	5483
1142	10	10129
35	10	13210
2327	10	8320
2378	10	7678
1561	3	7619
2953	10	3084
1620	10	11007
618	10	13699
2356	10	12915
2926	10	13638
86	10	13770
661	10	9766
697	10	8916
1406	10	4440
1668	3	13340
1646	10	11988
2409	3	3946
2820	10	13160
2545	10	6252
1571	9	4366
2858	10	13495
2464	3	9301
2421	10	13533
690	10	9885
2699	10	10621
2571	10	3816
2106	10	10713
2334	4	10467
519	3	10863
905	10	7224
1133	3	5521
571	10	12741
2745	10	9956
408	3	11610
734	10	5683
437	1	3962
847	3	6104
52	10	12922
2477	10	10895
429	3	12717
1027	10	6575
2916	10	4616
2033	10	3169
867	10	6589
2710	10	12850
1087	10	13037
227	1	11931
2874	10	11850
1132	10	7738
2391	4	13322
2540	10	9426
938	10	8773
143	10	12627
1841	10	12373
1479	10	7561
996	7	6075
2252	10	10931
924	10	7195
2328	10	4752
426	3	11718
1277	10	4143
801	10	10674
2787	10	12587
1225	10	12357
631	10	10193
1303	10	3034
594	10	8838
1082	2	8606
2162	1	8092
2875	10	4059
749	10	3940
2067	10	12581
2454	10	8362
1769	10	4037
797	10	5213
1981	3	7962
1610	3	10668
622	4	13540
1694	10	12581
158	1	11772
2548	3	7934
2011	10	11399
1207	3	10121
871	10	5917
2156	10	7843
1108	10	9449
355	10	10764
17	10	5054
1043	3	10818
2580	3	12824
1178	10	5663
315	10	10147
2727	10	9169
607	10	7648
2347	4	12999
334	10	13495
263	3	7934
1686	10	7074
1419	10	6709
825	10	9793
241	10	4096
2739	10	5424
2504	10	8302
1142	10	12648
2708	10	9600
179	10	6261
2703	10	10895
1588	10	5424
2777	10	5948
1059	10	3831
53	10	4731
2292	10	9549
2737	3	8793
455	1	3962
1803	10	9887
872	10	3375
89	10	3855
2162	10	8066
2471	4	8640
1129	10	11273
1497	10	12313
1141	10	3074
2961	10	7506
492	10	6387
1419	10	12149
2622	3	7934
2516	3	9040
1982	10	9555
253	3	4740
34	10	10147
2446	4	12690
2608	10	9107
2464	3	8614
77	10	9666
645	10	10459
53	3	5126
1333	1	3390
2864	10	8838
681	10	9069
694	10	13748
2650	3	12952
1653	10	11825
2634	10	4059
2377	10	8673
175	10	10434
377	10	13580
990	8	6254
397	4	12992
85	10	3126
1801	4	12723
2628	10	12867
2726	10	4090
2065	10	5802
2235	10	8332
1894	10	5350
1865	2	8933
2778	3	9925
1686	10	8997
2533	10	7257
2060	1	8139
1454	10	13758
2042	3	8331
138	10	12872
1767	10	10434
2338	10	6581
1274	10	6814
888	3	12196
2646	10	3502
1589	10	11911
1842	10	5571
315	10	12648
1378	10	9496
2173	3	7921
1169	10	4514
2083	4	12772
1252	10	6273
178	4	3589
2593	10	12586
1028	3	11492
1060	10	9745
363	10	10551
91	10	11963
2342	10	13673
1752	10	12822
2261	10	12390
1444	10	6962
2208	3	4373
161	3	4778
607	9	11534
2293	10	5204
618	3	11641
509	3	12395
2001	10	3301
2677	3	8647
2454	10	4581
1047	10	11700
2254	3	6476
1040	10	8662
1743	10	10969
421	10	6749
2405	10	8289
2597	10	13692
2360	3	3680
1419	10	7730
376	10	4908
2554	10	5349
2371	10	4655
1893	10	8657
2485	3	5298
46	10	6422
195	0	5005
1663	10	12313
1012	10	5336
971	10	6073
74	10	6197
484	10	4051
284	3	10747
2697	10	12732
506	3	11492
1277	10	10726
1524	10	4460
1645	10	4432
1006	10	13028
1723	10	9824
1635	10	3972
871	10	13262
1130	3	3056
906	1	9452
2753	3	4242
2848	10	12799
1756	10	5557
1944	4	11047
1485	7	13238
2268	5	7174
11	10	4965
45	10	9783
733	3	11660
364	4	8890
1438	3	9974
1445	10	13334
1402	5	7174
1343	3	11984
2345	10	4117
1546	10	9775
2382	10	7231
403	10	4799
1719	3	7921
1688	10	4732
1529	1	6887
1715	3	12376
1966	4	6196
1752	10	4352
466	10	10925
1969	0	9455
1663	10	12095
2421	10	6325
2805	3	10067
1834	3	4891
1218	10	5947
1278	10	5144
2431	3	7921
2405	3	3404
1060	10	10459
665	10	4305
1665	10	12207
1436	10	6435
319	10	4442
1503	4	10242
1362	3	4961
303	10	12768
2581	10	8913
2007	10	11199
1405	3	9488
1697	10	5557
2039	10	10614
2720	10	12475
1438	10	8609
1823	3	11097
1436	1	9452
2642	10	3074
966	10	9340
1067	3	7934
2069	10	7386
465	10	10713
1166	3	7934
592	10	8996
1242	3	6787
2085	3	13406
1479	10	7259
65	10	5822
645	10	11422
1407	3	11102
1759	4	10270
447	10	9984
933	10	11275
2888	10	13257
1150	3	5418
2391	10	9169
1435	10	6242
1372	10	4866
2109	10	4932
1056	10	3139
1490	3	10844
2926	10	8081
2335	3	10580
2398	10	12607
2632	10	7794
2302	3	3469
2415	10	7800
2307	3	7934
2337	10	8633
1206	10	5496
10	1	9452
2833	3	6227
1887	10	7134
555	10	9644
1993	10	9438
383	10	8673
461	3	5330
543	10	12043
1874	10	11140
1407	10	5947
1070	10	3271
1683	3	10507
2087	10	10317
2474	1	4221
701	3	8331
697	3	8544
2639	10	5763
2418	10	6205
2320	10	5531
1824	10	11502
2252	10	5951
1223	3	4891
2610	10	5201
1743	10	7304
221	3	9323
2275	10	12890
2787	10	9984
2890	4	5007
599	3	12717
959	10	11983
1403	10	9355
1665	10	5948
2733	3	4768
1319	10	10223
2091	10	10266
1043	10	4725
2270	10	8277
1756	10	5680
1368	10	8347
804	10	12799
647	10	13176
1581	10	8099
2720	1	9452
2946	10	7565
2944	10	11449
2425	3	12483
825	10	4651
2062	10	9688
365	10	10517
925	10	7199
2798	10	5570
2912	10	5943
1666	10	12465
753	10	3635
1386	10	8351
1327	10	13735
2181	10	10933
2600	10	10723
649	0	10805
582	10	4096
1566	10	8701
1297	10	3646
2489	10	4475
1131	10	10111
2372	4	13773
540	0	4726
2977	10	10204
1708	10	7388
2255	10	3796
982	10	7940
2887	2	9616
392	10	8314
1060	10	7565
2358	3	4232
1560	10	3682
1682	10	5570
498	10	4549
46	10	9271
210	2	9806
2551	10	8585
893	10	8462
1355	7	9308
2883	4	12048
2307	2	13249
1226	10	8673
460	10	5557
1100	10	4475
993	10	4743
2303	10	12357
723	4	11473
256	10	7234
1744	10	8009
2228	10	10538
119	10	7417
1932	10	4628
2820	3	13288
2204	3	13179
1986	10	13357
2547	10	12077
726	10	12447
134	1	3962
1607	10	6114
905	10	13243
1885	10	4432
2005	10	10434
90	10	5776
1981	4	12380
2198	3	8049
138	3	7615
1825	10	4886
87	10	6642
1819	0	6651
2709	10	10014
140	10	6628
393	10	8107
1504	10	6962
581	3	5532
62	10	9521
2499	10	6118
90	10	8971
1387	10	13104
2601	10	12407
1766	10	11662
2552	10	13508
1589	10	9426
2045	10	12440
1738	10	12732
1021	10	5710
1287	10	11027
2304	10	4766
1815	10	7259
1612	3	12632
232	3	11822
362	4	9498
2017	3	10863
2438	3	9592
1723	10	10169
1336	0	9020
2176	10	8841
2090	10	4719
2353	10	13404
187	10	4924
848	10	6669
1086	3	4242
2292	10	3462
1029	10	5102
2888	10	4581
332	10	5201
1366	10	5970
1810	10	8568
835	10	11231
1381	10	3811
1954	10	10158
903	10	13744
2977	10	10855
1282	10	4642
2067	10	13495
864	10	3186
690	10	7165
2405	10	4227
1183	10	8811
1544	4	6818
602	10	10195
586	10	10831
2731	10	13630
207	4	6783
2500	10	5557
295	10	9337
307	3	8934
2618	10	6491
1307	10	6306
2212	10	12741
800	10	8742
1958	3	4409
91	3	5093
84	10	10633
1857	10	6279
1537	3	12842
22	10	3446
1162	10	11505
2334	3	7502
1857	10	5538
2907	10	13530
592	3	7421
371	10	10895
736	10	5511
2633	3	7934
1044	10	6157
2021	4	13015
92	3	3616
180	10	8326
134	10	9747
1142	10	10237
1995	10	8662
646	3	10858
138	10	12786
1372	10	4451
2901	10	10364
2069	10	8302
2642	10	11938
466	10	3345
2430	10	8891
1435	10	12235
616	10	5506
825	10	4534
1827	10	7822
743	10	10266
2695	10	8485
1870	10	5596
1259	3	5085
507	10	3532
210	3	12376
2014	10	12145
1161	10	8871
244	3	12226
2892	10	5056
522	10	7403
1309	3	11822
65	10	11785
779	10	12480
191	10	7679
74	3	13340
342	10	4908
2151	10	12454
2942	10	10459
1476	10	8621
66	10	10940
1948	7	4092
1344	10	4908
482	3	10507
2142	3	7934
2695	10	8300
1729	3	13379
1316	10	13366
425	10	3529
1064	10	3377
224	10	3314
1689	10	12679
2011	10	5674
898	10	5110
1313	3	6185
2905	4	4326
1108	10	3382
990	10	7648
2324	10	3169
1282	10	12327
342	10	3980
1320	3	7084
1824	10	9600
487	10	9766
2712	10	3442
355	10	3116
2789	10	9650
8	4	3147
1362	10	5710
2628	10	9191
167	10	3505
1445	10	10033
2582	4	13457
52	10	10045
368	10	4642
328	10	13532
984	10	5497
607	10	9426
1967	3	4282
2863	10	9039
1129	3	4280
211	10	6428
1835	10	8926
319	10	8002
1479	10	3139
69	5	7174
867	10	4958
666	4	9750
2211	10	12792
684	10	7245
1949	3	7934
390	10	5745
200	3	7956
2725	3	12376
2006	1	9452
421	3	7260
1885	10	4729
2008	10	6326
716	3	13270
1027	10	9600
688	10	12756
2340	10	3941
2062	3	9947
873	10	3591
1414	10	12756
2770	3	3477
570	10	3222
1817	10	11200
809	10	12076
325	10	12741
639	10	11835
1528	10	7730
1234	1	6887
389	10	5678
1191	3	6501
2491	10	11496
34	4	10214
2120	10	5288
1993	10	10641
1057	4	11047
767	10	5496
1880	3	3467
797	10	7644
2168	10	6330
396	10	11515
1566	10	5782
785	10	5032
79	10	7133
1264	10	9881
368	10	4815
2014	10	4779
1880	3	6003
1387	10	5429
2247	10	13563
887	10	5947
1971	3	10357
675	10	3956
2014	10	5698
1257	10	6074
2457	10	9973
2712	10	9600
1485	10	13735
2433	10	12802
2323	10	11480
77	10	8597
595	3	9767
1402	10	9426
2238	10	13612
561	8	3287
1777	3	3066
2481	10	5483
2406	10	2987
2401	10	10360
2730	4	5021
364	10	10713
2142	10	13339
397	3	10429
938	3	3551
598	4	6110
1929	10	4958
1705	10	12679
1736	10	4771
30	10	13189
911	10	9357
2700	10	9201
1960	10	4790
976	3	6036
893	10	13747
601	10	6270
1853	10	10700
305	3	5412
131	4	5839
2135	10	9191
2646	10	9992
889	10	8302
2329	3	4873
2284	10	4713
2045	3	11610
945	3	9125
204	10	12550
568	3	9874
915	3	7059
930	10	3996
2564	10	5429
752	10	11730
1187	1	9901
1165	10	12129
483	10	5570
1969	10	4476
2422	10	5048
872	10	5546
2667	3	5817
82	10	7529
2357	3	13308
1344	10	8085
2128	10	6985
825	10	10217
1073	10	12581
2878	10	9426
1156	3	8322
1163	4	3765
2499	10	12391
1705	10	11886
2197	10	8390
1108	10	11765
2606	10	4788
2327	10	10713
1694	3	11228
2785	10	8597
2122	7	6486
507	2	13794
342	10	10726
283	10	6027
2320	10	12409
1666	10	7636
2151	10	12407
2087	3	11287
376	10	9426
2095	10	5917
2418	10	3621
538	10	8714
468	10	4724
359	1	4187
979	10	12480
98	7	11749
747	10	8916
1306	10	5621
1200	3	12717
2938	1	3989
545	10	12874
826	3	12376
1536	3	8303
2825	10	11511
1436	4	5254
1887	3	3655
292	10	11662
1262	10	3348
1191	10	13230
702	10	6437
2878	10	10338
353	10	13373
371	3	12717
2016	10	10968
2084	3	12669
2557	10	13316
1804	10	13292
2692	10	3106
1631	10	9789
2888	10	8876
1707	10	12568
1124	10	9186
2820	10	4059
163	10	3646
840	10	9405
2143	10	9797
1984	10	9745
2243	10	6991
763	10	13063
460	10	10555
1381	10	9485
2446	10	3808
1486	10	9749
296	10	5657
1027	10	9089
817	4	8842
2825	10	4000
1300	10	4719
1390	10	13188
2198	10	12480
2604	3	6733
610	3	12920
594	10	13389
2208	10	6307
720	3	12226
2128	10	8993
827	3	12106
2961	10	5764
2301	10	12871
469	10	11399
2175	10	5997
289	3	6930
2144	10	8916
912	3	6791
1540	3	8091
856	10	12081
280	10	9766
1724	10	7007
157	10	4715
1030	10	13681
806	10	7643
2904	10	12871
2802	10	10726
1993	10	5595
2384	10	4288
2801	10	8209
1386	3	11533
2263	10	9337
1675	10	4518
1414	10	10460
1884	3	12632
1517	10	5464
1904	4	8352
203	10	5944
675	0	3156
1432	10	7046
2569	3	12451
969	6	5184
1274	10	6413
2433	10	11496
722	10	11907
1377	10	5741
1394	10	5445
379	10	6917
2781	1	6722
2050	10	5734
1344	10	5559
1479	10	9047
2821	10	8971
379	3	11169
2423	10	13304
167	10	11733
2503	10	12241
623	3	3660
2215	10	13043
1364	3	7427
2619	10	12419
2671	4	5083
1844	4	5266
538	10	4182
927	10	12377
1438	10	3381
1387	10	6128
87	10	10368
21	10	8332
2484	10	11653
352	3	10165
251	10	8316
1552	10	9426
1579	10	3077
879	10	3250
2910	10	5869
1823	4	11922
1616	10	12429
654	1	9452
31	10	3268
2381	10	3267
1861	3	7881
191	10	9573
803	10	8009
1283	10	3564
1758	3	5706
892	10	9068
114	3	12376
818	10	3796
1329	10	11340
2186	10	4477
2007	10	7178
1009	10	7894
2824	3	3930
803	10	12165
2961	3	12920
761	10	12756
358	7	7499
593	3	8629
1638	3	12376
1552	10	3112
2758	10	10773
2702	10	12539
1686	3	6851
1993	3	11091
605	3	4769
1524	10	4742
2834	10	7872
2013	10	4305
706	10	7086
1262	10	13722
983	3	12376
360	4	10820
1738	10	3529
1402	10	6749
2554	10	13631
340	3	3066
849	10	6310
1702	10	11662
734	3	7469
2029	4	11126
2287	10	12861
1764	0	6912
854	3	5425
1316	3	12926
2848	3	8307
2004	3	7421
1632	10	6270
934	10	8132
65	10	8511
556	3	12376
1087	10	11551
1103	3	7439
1970	10	7061
250	3	6240
2421	10	5673
2375	10	9109
9	3	5547
1377	10	8480
925	10	4597
1186	10	10711
515	10	11374
2084	10	3562
1094	10	6289
2151	10	11629
1545	10	9426
2102	3	13179
2153	10	11719
1854	3	4740
147	10	8773
2841	10	9889
1036	10	11399
1642	10	6781
1793	10	3139
1731	10	5557
343	10	5351
198	4	7584
597	10	5340
2306	10	8609
861	4	6139
740	10	3310
1359	10	10941
2125	3	11373
16	3	7423
2717	4	4176
2162	4	12950
1261	4	5785
2878	3	11123
277	10	3337
634	10	11652
1029	3	10637
2169	10	9107
1802	10	5951
2638	10	13305
2348	10	3560
2113	10	8002
837	10	3821
210	4	8116
2127	10	9881
1500	10	7553
978	10	8540
2880	3	7298
974	1	11787
2154	10	10727
607	3	9480
1405	3	6502
1700	10	13732
2086	10	5400
763	10	4687
1461	10	11992
1577	4	6406
1609	10	11496
2048	3	8892
2708	3	11132
1710	10	6055
1279	10	4625
739	3	6456
1981	10	9810
2859	10	8665
2751	0	12441
2957	10	13490
1015	10	4633
724	4	4602
930	10	13143
803	10	6123
797	10	8971
812	10	4596
1405	10	5979
2924	10	5596
498	3	6116
2568	10	7541
2271	10	5680
2086	9	5046
1048	10	9575
180	10	10330
2191	3	10554
868	3	6573
172	3	11984
1027	10	4581
2059	10	13319
2836	10	6896
2670	10	7353
890	3	11492
2110	3	9971
1411	10	12145
1162	4	12698
1123	10	4625
2045	10	9263
2824	10	11277
872	10	5480
694	10	7574
1098	4	3060
1773	10	7259
116	1	9901
2968	4	5659
2796	3	11441
36	10	11536
1402	10	13199
310	10	4146
176	2	4533
1786	10	6834
1010	10	12357
2568	10	9709
2541	10	10339
1723	10	12631
1515	10	8595
2627	10	4561
